"GeneID"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"Gamt"	-2.11818994954496	7.05631520519845	151.634709491586	2.17827775245506e-34	4.30435751580499e-31
"Plin4"	-2.91810931765935	7.38501225895439	232.07552772274	1.557304066927e-33	2.96738728152702e-30
"Cebpb"	-2.09565489365807	5.00068307164886	145.412536117414	1.78925053448968e-33	3.29178909540095e-30
"B930025P03Rik"	2.23374674048967	5.41271128590298	163.293505712738	2.11345245124324e-32	3.75863428770601e-29
"Orm3"	-3.91762675168344	2.6144630783017	140.318068498666	2.4682647883199e-32	4.24804294358812e-29
"Msmo1"	-1.94665110611991	5.89281806247071	135.400824616523	2.75755416448106e-31	4.59761835429869e-28
"Saa1"	-2.0233544724521	4.9265264165604	135.077002635725	3.24570293408628e-31	5.24751480734259e-28
"Orm2"	-2.37768621580598	3.99062354133062	137.132221183687	6.17428287638438e-31	9.6887210089334e-28
"Mogat1"	-3.02157653490358	3.12317048737055	132.920226017932	9.61159885925149e-31	1.46516466839327e-27
"Chchd10"	-2.03272579901527	8.44067852630431	131.207633380691	2.3511132099814e-30	3.39054131588026e-27
"Wfdc2"	-2.79099083348245	3.58868699473487	146.152350499144	2.3513209882775e-30	3.39054131588026e-27
"Kcnb2"	-2.50910641820583	4.47809710470717	164.980882516123	2.59523927949677e-30	3.64378424418398e-27
"Slc22a29"	-4.33387607307149	2.25863710643004	130.194214632073	3.79147139037035e-30	5.18683007924178e-27
"Tpm2"	-2.09225253774041	4.497514952898	129.980556611294	5.76480435733283e-30	7.68924017191946e-27
"Irf6"	2.31624994391074	3.89994746199381	128.030901058724	1.15898037875671e-29	1.50817268653188e-26
"0610012G03Rik"	-2.04893968819722	4.55116963587126	127.158001903088	2.62153054412398e-29	3.33015521715826e-26
"H2-Q1"	-1.95709256387721	5.01874742404956	128.494976549126	3.17930198690559e-29	3.94477439319474e-26
"Tceal8"	-1.927610583769	4.97533686173742	124.793442334975	5.75341700550373e-29	6.97641039760546e-26
"Ehhadh"	2.14873864404029	10.8737890607924	133.240162072383	6.89771599338275e-29	8.17808536433221e-26
"Ubd"	-4.27186255003071	2.19183256690877	124.009341560075	8.53962294224937e-29	9.90466310517023e-26
"Gm13456"	1.89413148490428	5.03387401111435	121.908684897853	2.69647866546959e-28	3.06096226039998e-25
"Gstm1"	-1.99054966232839	9.46879335237013	121.579786523722	2.90357624299271e-28	3.22738548525813e-25
"Gm45091"	-2.50824986678586	3.48775156775721	121.06579421105	3.7617219790387e-28	4.09590107648269e-25
"C730036E19Rik"	-1.88339767785897	6.70041800689595	123.167932493182	9.25776467671213e-28	9.87859037593244e-25
"Col3a1"	-1.99977871132808	5.47128085358698	134.55526942239	1.34831972729351e-27	1.41052749824099e-24
"3930402G23Rik"	4.31782368872637	2.08553797833899	118.533025917147	1.49151293630562e-27	1.53032095559065e-24
"S100a11"	-3.00516284011777	2.9301986073622	118.379764959784	2.09478150068969e-27	2.10873353596787e-24
"Slc13a3"	-1.96546026593876	4.44886910327408	115.106369888478	7.57740108533415e-27	7.48661259455246e-24
